tgid 5598  "adbd"  7fbd039000 0
tgid 1995  "droid.launcher3"  7fffffd000 0
tgid 1995  "droid.launcher3"  7fbe22e000 0
tgid 1995  "droid.launcher3"  7f28b49000 0
tgid 1995  "droid.launcher3"  7fbe491000 0
tgid 1340  "android.ui"  7ed0d0c000 0
tgid 1340  "android.ui"  7ed0d0d000 0
tgid 1340  "android.ui"  7ec9017000 0
tgid 1340  "android.ui"  7ec9018000 0
tgid 1340  "android.ui"  7ec8db7000 0
tgid 1340  "android.ui"  7f2d6c3000 0
tgid 1340  "android.ui"  143be000 0
tgid 1340  "android.ui"  7eb7d93000 0
tgid 1340  "android.ui"  1443a000 0
tgid 1340  "android.ui"  1463d000 0
tgid 1340  "android.ui"  142fe000 0
tgid 1340  "android.ui"  9ec34000 0
tgid 1340  "android.ui"  9ed62000 0
tgid 818  "power@1.3-servi"  7fffffe000 0
tgid 818  "power@1.3-servi"  7fbb851000 0
tgid 818  "power@1.3-servi"  7fbd926000 0
tgid 1995  "droid.launcher3"  7ecec2f000 0
tgid 1995  "droid.launcher3"  7ecec30000 0
tgid 1995  "droid.launcher3"  7ecec74000 0
tgid 1995  "droid.launcher3"  7eced32000 0
tgid 1995  "droid.launcher3"  7fbd93c000 0
tgid 1995  "droid.launcher3"  7fbe1e9000 0
tgid 1995  "droid.launcher3"  7f393c4000 0
tgid 818  "power@1.3-servi"  7fbb800000 0
tgid 1340  "InputDispatcher"  7f2d719000 0
tgid 1340  "InputDispatcher"  7eb7daa000 0
tgid 818  "power@1.3-servi"  7fbb820000 0
tgid 1340  "InputDispatcher"  1469c000 0
tgid 818  "power@1.3-servi"  7fbb83f000 0
tgid 818  "power@1.3-servi"  7fbb85c000 0
tgid 818  "power@1.3-servi"  7fbb844000 0
tgid 818  "power@1.3-servi"  7fbb859000 0
tgid 818  "power@1.3-servi"  7fbd922000 0
tgid 1340  "InputDispatcher"  145a1000 0
tgid 1340  "InputDispatcher"  1468b000 0
tgid 600  "Binder:600_1"  7fba732000 0
tgid 600  "Binder:600_1"  7fba733000 0
tgid 600  "Binder:600_1"  7fbe175000 0
tgid 1340  "system_server"  9ef26000 0
tgid 1340  "android.display"  7ecd8b1000 0
tgid 1340  "android.display"  7ecd8b2000 0
tgid 1340  "android.display"  7ed0be3000 0
tgid 1340  "android.display"  7ecd8b0000 0
tgid 1340  "android.display"  7ecd8af000 0
tgid 1340  "android.display"  7f314c0000 0
tgid 1340  "android.display"  9ee6a000 0
tgid 818  "power@1.3-servi"  7fbd923000 0
tgid 1995  "droid.launcher3"  7fbe165000 0
tgid 1995  "droid.launcher3"  7fbe1a2000 0
tgid 1995  "droid.launcher3"  7ecec7b000 0
tgid 1995  "droid.launcher3"  7f29a00000 0
tgid 1995  "droid.launcher3"  7f29a01000 0
tgid 1995  "droid.launcher3"  7fffffc000 0
tgid 1995  "droid.launcher3"  7eceae0000 0
tgid 1995  "droid.launcher3"  7fb9e51000 0
tgid 1995  "droid.launcher3"  7fb9e4d000 0
tgid 1995  "droid.launcher3"  7fb9e4e000 0
tgid 818  "power@1.3-servi"  7fbd201000 0
tgid 818  "power@1.3-servi"  7fbd200000 0
tgid 818  "power@1.3-servi"  7fbd298000 0
tgid 818  "power@1.3-servi"  7fbb84b000 0
tgid 818  "power@1.3-servi"  7fbb84c000 0
tgid 818  "power@1.3-servi"  7fbd404000 0
tgid 818  "power@1.3-servi"  7fbd400000 0
tgid 1340  "system_server"  9ee33000 0
tgid 1995  "droid.launcher3"  7fbe15d000 0
tgid 1995  "droid.launcher3"  7fbe15c000 0
tgid 1995  "droid.launcher3"  7eceb9a000 0
tgid 1995  "droid.launcher3"  7eceafe000 0
tgid 1995  "droid.launcher3"  7f2898b000 0
tgid 1995  "droid.launcher3"  7fbb758000 0
tgid 818  "power@1.3-servi"  7fbd407000 0
tgid 818  "power@1.3-servi"  7fbd406000 0
tgid 600  "surfaceflinger"  7fb2f26000 0
tgid 600  "surfaceflinger"  7fb2f25000 0
tgid 818  "power@1.3-servi"  7fbd408000 0
tgid 818  "power@1.3-servi"  7fbd205000 0
tgid 818  "power@1.3-servi"  7fbd211000 0
tgid 818  "power@1.3-servi"  7fbb84d000 0
tgid 818  "power@1.3-servi"  7fbcfe9000 0
tgid 818  "NodeLooperThrea"  7fbb7fc000 0
tgid 818  "NodeLooperThrea"  7fbb7fb000 0
tgid 818  "NodeLooperThrea"  7fbb83e000 0
tgid 818  "NodeLooperThrea"  7fbb83d000 0
tgid 818  "power@1.3-servi"  7fba6ff000 0
tgid 1995  "droid.launcher3"  7fbe25a000 0
tgid 1995  "droid.launcher3"  7f393c2000 0
tgid 1995  "droid.launcher3"  7fbe23c000 0
tgid 1995  "droid.launcher3"  7fbe1a3000 0
tgid 1995  "droid.launcher3"  7f31943000 0
tgid 1995  "droid.launcher3"  13ca4000 0
tgid 818  "power@1.3-servi"  7fba6fe000 0
tgid 818  "NodeLooperThrea"  7fbb81b000 0
tgid 1995  "droid.launcher3"  7fbe285000 0
tgid 1995  "droid.launcher3"  7f393c3000 0
tgid 1995  "droid.launcher3"  7fbe1f8000 0
tgid 1995  "droid.launcher3"  7fffffa000 0
tgid 1995  "droid.launcher3"  7fbe24e000 0
tgid 1995  "droid.launcher3"  7fbded4000 0
tgid 1995  "droid.launcher3"  7fbe286000 0
tgid 1995  "droid.launcher3"  12ed0000 0
tgid 1995  "droid.launcher3"  7f350cf000 0
tgid 1995  "droid.launcher3"  7ec54d3000 0
tgid 818  "NodeLooperThrea"  7fbb84e000 0
tgid 818  "NodeLooperThrea"  7fbb81d000 0
tgid 1995  "droid.launcher3"  13cb1000 0
tgid 1995  "droid.launcher3"  13d44000 0
tgid 1995  "droid.launcher3"  7f34f5a000 0
tgid 1995  "droid.launcher3"  13d45000 0
tgid 1995  "droid.launcher3"  12ec0000 0
tgid 1995  "droid.launcher3"  7f34f56000 0
tgid 1995  "droid.launcher3"  13c84000 0
tgid 1995  "droid.launcher3"  13cbc000 0
tgid 1995  "droid.launcher3"  13cad000 0
tgid 1995  "droid.launcher3"  13cb0000 0
tgid 1995  "droid.launcher3"  13ca6000 0
tgid 1995  "droid.launcher3"  9ebf9000 0
tgid 818  "NodeLooperThrea"  7fbb85b000 0
tgid 1995  "droid.launcher3"  13d4b000 0
tgid 1995  "droid.launcher3"  7fbe170000 0
tgid 1995  "droid.launcher3"  7fbe249000 0
tgid 1995  "droid.launcher3"  7f289fb000 0
tgid 600  "surfaceflinger"  7fb7509000 0
tgid 600  "surfaceflinger"  7fb750a000 0
tgid 600  "surfaceflinger"  7fb7675000 0
tgid 600  "surfaceflinger"  7fb75d6000 0
tgid 1340  "system_server"  9ee03000 0
tgid 1995  "droid.launcher3"  9ebf8000 0
tgid 1340  "android.display"  9ec99000 0
tgid 818  "NodeLooperThrea"  7fbd26b000 0
tgid 818  "NodeLooperThrea"  7fbd26c000 0
tgid 818  "NodeLooperThrea"  7fbd240000 0
tgid 818  "NodeLooperThrea"  7fbe19b000 0
tgid 818  "NodeLooperThrea"  7fbd20a000 0
tgid 818  "NodeLooperThrea"  7fbd20e000 0
tgid 818  "NodeLooperThrea"  7fbe19a000 0
tgid 1340  "android.display"  136ba000 0
tgid 1340  "android.display"  13e91000 0
tgid 1995  "droid.launcher3"  9ecf5000 0
tgid 818  "NodeLooperThrea"  7fbb7fa000 0
tgid 818  "NodeLooperThrea"  7fbd212000 0
tgid 818  "NodeLooperThrea"  7fbdfeb000 0
tgid 818  "NodeLooperThrea"  7fbf5e3000 0
tgid 1340  "android.ui"  9ec88000 0
tgid 1340  "android.ui"  9ef02000 0
tgid 1995  "droid.launcher3"  9ed06000 0
tgid 818  "NodeLooperThrea"  7fbdeed000 0
tgid 1995  "droid.launcher3"  9ed00000 0
tgid 1340  "android.display"  7f2d669000 0
tgid 1340  "android.display"  7f2d6b0000 0
tgid 1340  "android.display"  7f28b1d000 0
tgid 1340  "android.display"  7f28b1e000 0
tgid 1340  "android.display"  7eb4dee000 0
tgid 1340  "android.display"  7eb67a7000 0
tgid 1995  "droid.launcher3"  7ecec60000 0
tgid 1995  "droid.launcher3"  7f28b5e000 0
tgid 1995  "droid.launcher3"  13d4e000 0
tgid 1995  "droid.launcher3"  13d4f000 0
tgid 1995  "droid.launcher3"  13caf000 0
tgid 1995  "droid.launcher3"  7ecec61000 0
tgid 1995  "droid.launcher3"  12eca000 0
tgid 1995  "droid.launcher3"  9ebc1000 0
tgid 1340  "android.ui"  9edcb000 0
tgid 1995  "droid.launcher3"  7fbe264000 0
tgid 1995  "droid.launcher3"  9ebc2000 0
tgid 1653  "ndroid.systemui"  9edf1000 0
tgid 1340  "android.ui"  9ebf1000 0
tgid 1340  "android.ui"  7eb7e85000 0
tgid 1340  "android.ui"  9ecac000 0
tgid 1340  "android.ui"  9ef07000 0
tgid 1995  "droid.launcher3"  9ebda000 0
tgid 1995  "droid.launcher3"  9ebc3000 0
tgid 1340  "android.ui"  9ec42000 0
tgid 1340  "android.ui"  9ed71000 0
tgid 1995  "droid.launcher3"  7ecec5f000 0
tgid 1995  "droid.launcher3"  9ebdb000 0
tgid 1653  "ndroid.systemui"  9ee24000 0
tgid 1340  "InputDispatcher"  7eb7f00000 0
tgid 1995  "droid.launcher3"  9ecc9000 0
tgid 1995  "droid.launcher3"  7f2dd4e000 0
tgid 1340  "android.ui"  1463e000 0
tgid 1340  "android.ui"  9ebd9000 0
tgid 1340  "android.ui"  9edf5000 0
tgid 1653  "ndroid.systemui"  9ede8000 0
tgid 1995  "droid.launcher3"  9ecd3000 0
tgid 1995  "droid.launcher3"  9ebdc000 0
tgid 1995  "droid.launcher3"  7f2dd4f000 0
tgid 603  "composer@2.3-se"  7fbd049000 0
tgid 603  "composer@2.3-se"  7fbd022000 0
tgid 603  "composer@2.3-se"  7fbd078000 0
tgid 603  "composer@2.3-se"  7fbd033000 0
tgid 603  "composer@2.3-se"  7fbd208000 0
tgid 603  "composer@2.3-se"  7fbd20a000 0
tgid 603  "composer@2.3-se"  7fbd207000 0
tgid 603  "composer@2.3-se"  7fbd032000 0
tgid 1995  "droid.launcher3"  9ec19000 0
tgid 1340  "InputDispatcher"  7eb7f01000 0
tgid 1995  "droid.launcher3"  9ebf4000 0
tgid 603  "composer@2.3-se"  7fbd096000 0
tgid 1653  "ndroid.systemui"  7fbe1a4000 0
tgid 1653  "ndroid.systemui"  137cb000 0
tgid 1653  "ndroid.systemui"  13333000 0
tgid 1653  "ndroid.systemui"  7f28d62000 0
tgid 1653  "ndroid.systemui"  7eacdb6000 0
tgid 1653  "ndroid.systemui"  13313000 0
tgid 1995  "droid.launcher3"  9ebaa000 0
tgid 603  "composer@2.3-se"  7fbd093000 0
tgid 603  "composer@2.3-se"  7fbd00e000 0
tgid 603  "composer@2.3-se"  7fb60bc000 0
tgid 1995  "droid.launcher3"  9ed66000 0
tgid 1995  "droid.launcher3"  9ecd8000 0
tgid 1653  "ndroid.systemui"  9edc7000 0
tgid 603  "composer@2.3-se"  7fbd072000 0
tgid 603  "composer@2.3-se"  7fbd073000 0
tgid 603  "composer@2.3-se"  7fbe15f000 0
tgid 603  "composer@2.3-se"  7ffffe0000 0
tgid 603  "composer@2.3-se"  7ffffe1000 0
tgid 603  "composer@2.3-se"  7ffffe2000 0
tgid 603  "composer@2.3-se"  7ffffe3000 0
tgid 603  "composer@2.3-se"  7ffffe4000 0
tgid 603  "composer@2.3-se"  7ffffe5000 0
tgid 603  "composer@2.3-se"  7ffffe6000 0
tgid 603  "composer@2.3-se"  7ffffe7000 0
tgid 603  "composer@2.3-se"  7ffffe8000 0
tgid 603  "composer@2.3-se"  7ffffe9000 0
tgid 603  "composer@2.3-se"  7ffffea000 0
tgid 603  "composer@2.3-se"  7ffffeb000 0
tgid 603  "composer@2.3-se"  7ffffec000 0
tgid 603  "composer@2.3-se"  7ffffed000 0
tgid 603  "composer@2.3-se"  7ffffee000 0
tgid 603  "composer@2.3-se"  7ffffef000 0
tgid 603  "composer@2.3-se"  7fffff0000 0
tgid 603  "composer@2.3-se"  7fffff1000 0
tgid 603  "composer@2.3-se"  7fffff2000 0
tgid 603  "composer@2.3-se"  7fffff3000 0
tgid 603  "composer@2.3-se"  7fffff4000 0
tgid 603  "composer@2.3-se"  7fffff5000 0
tgid 603  "composer@2.3-se"  7fffff6000 0
tgid 603  "composer@2.3-se"  7fffff7000 0
tgid 603  "composer@2.3-se"  7fffff8000 0
tgid 603  "composer@2.3-se"  7fffff9000 0
tgid 603  "composer@2.3-se"  7fffffa000 0
tgid 603  "composer@2.3-se"  7fffffb000 0
tgid 603  "composer@2.3-se"  7fbd0d1000 0
tgid 603  "composer@2.3-se"  7fbd0d3000 0
tgid 603  "composer@2.3-se"  7fbd0d5000 0
tgid 603  "composer@2.3-se"  7fbd0dc000 0
tgid 603  "composer@2.3-se"  7fbd0dd000 0
tgid 603  "composer@2.3-se"  7fbd0de000 0
tgid 603  "composer@2.3-se"  7fbd0df000 0
tgid 603  "composer@2.3-se"  7fbd0e0000 0
tgid 603  "composer@2.3-se"  7fbd0e1000 0
tgid 603  "composer@2.3-se"  7fbd0e2000 0
tgid 603  "composer@2.3-se"  7fbd0e3000 0
tgid 603  "composer@2.3-se"  7fbd0e4000 0
tgid 603  "composer@2.3-se"  7fbd0e5000 0
tgid 603  "composer@2.3-se"  7fbd0e6000 0
tgid 603  "composer@2.3-se"  7fbd0e7000 0
tgid 603  "composer@2.3-se"  7fbd0e8000 0
tgid 603  "composer@2.3-se"  7fbd0e9000 0
tgid 603  "composer@2.3-se"  7fbd0ea000 0
tgid 603  "composer@2.3-se"  7fbd0eb000 0
tgid 603  "composer@2.3-se"  7fbd0ec000 0
tgid 603  "composer@2.3-se"  7fbd0ed000 0
tgid 603  "composer@2.3-se"  7fbf5e4000 0
tgid 1995  "droid.launcher3"  9ebe8000 0
tgid 1653  "ndroid.systemui"  13343000 0
tgid 603  "composer@2.3-se"  7ffffdf000 0
tgid 603  "composer@2.3-se"  7ffffdd000 0
tgid 603  "composer@2.3-se"  7ffffde000 0
tgid 603  "composer@2.3-se"  7fbd13a000 0
tgid 603  "composer@2.3-se"  7fbd13b000 0
tgid 603  "composer@2.3-se"  7fb5e14000 0
tgid 603  "composer@2.3-se"  7fb5e15000 0
tgid 603  "composer@2.3-se"  7fb5e13000 0
tgid 603  "composer@2.3-se"  7fb5e1a000 0
tgid 603  "composer@2.3-se"  7fb5e1b000 0
tgid 603  "composer@2.3-se"  7fb5e19000 0
tgid 603  "composer@2.3-se"  7fb5e1c000 0
tgid 603  "composer@2.3-se"  7fb5ebc000 0
tgid 1995  "droid.launcher3"  9eccd000 0
tgid 1653  "ndroid.systemui"  9eea4000 0
tgid 603  "composer@2.3-se"  7fbd021000 0
tgid 1995  "droid.launcher3"  9ecf4000 0
tgid 603  "composer@2.3-se"  7fbd094000 0
tgid 1995  "droid.launcher3"  9ecd5000 0
tgid 1995  "droid.launcher3"  9ebfa000 0
tgid 1653  "ndroid.systemui"  9ed28000 0
tgid 1653  "ndroid.systemui"  9ee94000 0
tgid 603  "composer@2.3-se"  7ffffa5000 0
tgid 603  "composer@2.3-se"  7ffffc3000 0
tgid 603  "composer@2.3-se"  7ffffc4000 0
tgid 603  "composer@2.3-se"  7ffffc5000 0
tgid 603  "composer@2.3-se"  7ffffc6000 0
tgid 603  "composer@2.3-se"  7ffffc7000 0
tgid 603  "composer@2.3-se"  7ffffc8000 0
tgid 603  "composer@2.3-se"  7ffffc9000 0
tgid 603  "composer@2.3-se"  7ffffca000 0
tgid 603  "composer@2.3-se"  7ffffcb000 0
tgid 603  "composer@2.3-se"  7ffffcc000 0
tgid 603  "composer@2.3-se"  7ffffcd000 0
tgid 603  "composer@2.3-se"  7ffffce000 0
tgid 603  "composer@2.3-se"  7ffffcf000 0
tgid 603  "composer@2.3-se"  7ffffd0000 0
tgid 603  "composer@2.3-se"  7ffffd1000 0
tgid 603  "composer@2.3-se"  7ffffd2000 0
tgid 603  "composer@2.3-se"  7ffffd3000 0
tgid 603  "composer@2.3-se"  7ffffd4000 0
tgid 603  "composer@2.3-se"  7ffffd5000 0
tgid 603  "composer@2.3-se"  7ffffd6000 0
tgid 603  "composer@2.3-se"  7ffffd7000 0
tgid 603  "composer@2.3-se"  7ffffd8000 0
tgid 603  "composer@2.3-se"  7ffffd9000 0
tgid 603  "composer@2.3-se"  7ffffda000 0
tgid 603  "composer@2.3-se"  7ffffdb000 0
tgid 603  "composer@2.3-se"  7ffffdc000 0
tgid 603  "composer@2.3-se"  7fbd056000 0
tgid 603  "composer@2.3-se"  7ffffa6000 0
tgid 603  "composer@2.3-se"  7ffffa7000 0
tgid 603  "composer@2.3-se"  7ffffa8000 0
tgid 603  "composer@2.3-se"  7ffffa9000 0
tgid 603  "composer@2.3-se"  7ffffaa000 0
tgid 603  "composer@2.3-se"  7ffffab000 0
tgid 603  "composer@2.3-se"  7ffffac000 0
tgid 603  "composer@2.3-se"  7ffffad000 0
tgid 603  "composer@2.3-se"  7ffffae000 0
tgid 603  "composer@2.3-se"  7ffffaf000 0
tgid 603  "composer@2.3-se"  7ffffb0000 0
tgid 603  "composer@2.3-se"  7ffffb1000 0
tgid 603  "composer@2.3-se"  7ffffb2000 0
tgid 603  "composer@2.3-se"  7ffffb3000 0
tgid 603  "composer@2.3-se"  7ffffb4000 0
tgid 603  "composer@2.3-se"  7ffffb5000 0
tgid 603  "composer@2.3-se"  7ffffb6000 0
tgid 603  "composer@2.3-se"  7ffffb7000 0
tgid 603  "composer@2.3-se"  7ffffb8000 0
tgid 603  "composer@2.3-se"  7ffffb9000 0
tgid 603  "composer@2.3-se"  7ffffba000 0
tgid 603  "composer@2.3-se"  7ffffbb000 0
tgid 603  "composer@2.3-se"  7ffffbc000 0
tgid 603  "composer@2.3-se"  7ffffbd000 0
tgid 603  "composer@2.3-se"  7ffffbe000 0
tgid 603  "composer@2.3-se"  7ffffbf000 0
