tgid 7708  "adbd"  7fbcdc1000 0
tgid 21340  "LacrimaBroadcas"  7fbb18d000 0
tgid 1670  "Binder:1670_4"  7ed11cd000 0
tgid 1670  "Binder:1670_4"  7ed12f6000 0
tgid 1670  "Binder:1670_4"  7ed1095000 0
tgid 1670  "Binder:1670_4"  7ed1096000 0
tgid 1670  "Binder:1670_4"  7ec48c9000 0
tgid 1670  "Binder:1670_4"  7f31069000 0
tgid 1670  "Binder:1670_4"  7ec48ca000 0
tgid 1670  "Binder:1670_4"  12fc1000 0
tgid 1670  "Binder:1670_4"  7ed11d2000 0
tgid 1670  "Binder:1670_4"  7ed11d3000 0
tgid 1670  "Binder:1670_4"  12d0f000 0
tgid 1670  "RenderThread"  7eaaef6000 0
tgid 1670  "RenderThread"  7eaaef7000 0
tgid 1670  "RenderThread"  7eca28f000 0
tgid 1670  "RenderThread"  7eca290000 0
tgid 1333  "Binder:1333_16"  9d780000 0
tgid 1333  "InputDispatcher"  7f2d5eb000 0
tgid 1333  "InputDispatcher"  7eb66de000 0
tgid 1333  "InputDispatcher"  7e58dad000 0
tgid 1333  "InputDispatcher"  7eb4d34000 0
tgid 1333  "InputDispatcher"  7e6a19a000 0
tgid 1333  "InputDispatcher"  7f2d4b1000 0
tgid 1333  "InputDispatcher"  7e858db000 0
tgid 1333  "InputDispatcher"  7eb7fc1000 0
tgid 1333  "InputDispatcher"  7eb7ff9000 0
tgid 1333  "InputDispatcher"  7eb45bf000 0
tgid 1333  "Binder:1333_16"  7eb4e35000 0
tgid 1333  "Binder:1333_16"  7f28a48000 0
tgid 1333  "Binder:1333_16"  7eb4f67000 0
tgid 1333  "Binder:1333_16"  7f28a53000 0
tgid 1333  "Binder:1333_16"  7f28a2a000 0
tgid 1333  "Binder:1333_16"  7f3985a000 0
tgid 1333  "Binder:1333_16"  7e85939000 0
tgid 1333  "Binder:1333_16"  7e8593a000 0
tgid 1333  "Binder:1333_16"  7eb4e36000 0
tgid 1333  "Binder:1333_16"  7eb4c6d000 0
tgid 1333  "Binder:1333_16"  7fbe311000 0
tgid 1333  "Binder:1333_16"  7fbe313000 0
tgid 1333  "Binder:1333_16"  7eb4c6e000 0
tgid 1333  "Binder:1333_16"  7eb81e6000 0
tgid 1333  "Binder:1333_16"  7e6f951000 0
tgid 1333  "InputDispatcher"  7eb8015000 0
tgid 1333  "InputDispatcher"  7f28aac000 0
tgid 1333  "InputDispatcher"  7ed0e51000 0
tgid 1333  "InputDispatcher"  7eb8005000 0
tgid 1333  "InputDispatcher"  7ed0d56000 0
tgid 1333  "InputDispatcher"  7e6f9af000 0
tgid 1333  "InputDispatcher"  7e58dab000 0
tgid 1333  "InputDispatcher"  7eb646c000 0
tgid 1333  "InputDispatcher"  7ed0bdf000 0
tgid 1333  "InputDispatcher"  7e85adc000 0
tgid 1333  "InputDispatcher"  7e6a265000 0
tgid 1333  "InputDispatcher"  7eb802b000 0
tgid 1333  "InputDispatcher"  7eb8d89000 0
tgid 1333  "InputDispatcher"  7e6a269000 0
tgid 1333  "InputDispatcher"  7f2d4ac000 0
tgid 1333  "InputDispatcher"  7e6073a000 0
tgid 1333  "InputDispatcher"  7ed17ff000 0
tgid 1333  "InputDispatcher"  7eb5267000 0
tgid 1333  "InputDispatcher"  7eb5266000 0
tgid 1333  "InputDispatcher"  7eb8167000 0
tgid 1333  "InputDispatcher"  7eb7ffc000 0
tgid 1333  "InputDispatcher"  7f2d54f000 0
tgid 1333  "InputDispatcher"  7e69ea0000 0
tgid 1333  "InputDispatcher"  7e69ea1000 0
tgid 1333  "InputDispatcher"  7eb7ffa000 0
tgid 1333  "InputDispatcher"  7eb4d48000 0
tgid 816  "power@1.3-servi"  7fbd22b000 0
tgid 816  "power@1.3-servi"  7ffffff000 0
tgid 816  "power@1.3-servi"  7fbe422000 0
tgid 1333  "InputDispatcher"  7fbccf1000 0
tgid 1333  "InputDispatcher"  7ed0dc1000 0
tgid 1333  "InputDispatcher"  7fbe175000 0
tgid 1670  "ndroid.systemui"  7ed1163000 0
tgid 1670  "ndroid.systemui"  7ec4a7e000 0
tgid 1670  "ndroid.systemui"  7ec4a7f000 0
tgid 1670  "ndroid.systemui"  7ed119b000 0
tgid 1670  "ndroid.systemui"  7f35098000 0
tgid 1670  "ndroid.systemui"  7eb53b2000 0
tgid 1670  "ndroid.systemui"  7f28972000 0
tgid 1670  "ndroid.systemui"  7f28894000 0
tgid 1670  "ndroid.systemui"  13dcd000 0
tgid 1670  "ndroid.systemui"  13dcf000 0
tgid 1670  "ndroid.systemui"  13583000 0
tgid 816  "power@1.3-servi"  7fbd226000 0
tgid 816  "power@1.3-servi"  7fbd21e000 0
tgid 816  "power@1.3-servi"  7fbf700000 0
tgid 816  "power@1.3-servi"  7fbd206000 0
tgid 816  "power@1.3-servi"  7fbd209000 0
tgid 816  "power@1.3-servi"  7fbd24e000 0
tgid 816  "power@1.3-servi"  7fbd97f000 0
tgid 816  "power@1.3-servi"  7fbd20d000 0
tgid 816  "power@1.3-servi"  7fbd221000 0
tgid 1670  "ndroid.systemui"  9d394000 0
tgid 1670  "ndroid.systemui"  9d5cc000 0
tgid 2000  "droid.launcher3"  7fffffd000 0
tgid 2000  "droid.launcher3"  7fbe22e000 0
tgid 2000  "droid.launcher3"  7f28a52000 0
tgid 2000  "droid.launcher3"  7fbe491000 0
tgid 1333  "android.ui"  7eb7fde000 0
tgid 1333  "android.ui"  7ed0ce7000 0
tgid 1333  "android.ui"  7ed0ce8000 0
tgid 1333  "android.ui"  7e58e48000 0
tgid 816  "power@1.3-servi"  7fbd7b5000 0
tgid 1333  "android.ui"  7e58e49000 0
tgid 1333  "android.ui"  7eb81e8000 0
tgid 1333  "android.ui"  7eb8083000 0
tgid 1333  "android.ui"  7e6f952000 0
tgid 1333  "android.ui"  9d683000 0
tgid 1333  "InputDispatcher"  7ed0be6000 0
tgid 816  "power@1.3-servi"  7fbd219000 0
tgid 1333  "InputDispatcher"  14b22000 0
tgid 816  "power@1.3-servi"  7fffffe000 0
tgid 816  "power@1.3-servi"  7fbb851000 0
tgid 816  "power@1.3-servi"  7fbdfc3000 0
tgid 602  "Binder:602_4"  7fbe175000 0
tgid 1333  "system_server"  9d6e2000 0
tgid 1333  "android.display"  7ecd867000 0
tgid 1333  "android.display"  7ecd865000 0
tgid 1333  "android.display"  7ecd864000 0
tgid 816  "power@1.3-servi"  7fbb800000 0
tgid 2000  "droid.launcher3"  7ecca29000 0
tgid 2000  "droid.launcher3"  7ec8fe1000 0
tgid 2000  "droid.launcher3"  7ec5352000 0
tgid 2000  "droid.launcher3"  7fb9cb3000 0
tgid 2000  "droid.launcher3"  7fbe1e9000 0
tgid 2000  "droid.launcher3"  7f393f1000 0
tgid 1333  "android.display"  7f2d469000 0
tgid 1333  "android.display"  7f2d4af000 0
tgid 1333  "android.display"  7f28a26000 0
tgid 1333  "android.display"  7f28a27000 0
tgid 1333  "android.display"  7e58d8d000 0
tgid 816  "power@1.3-servi"  7fbb820000 0
tgid 602  "surfaceflinger"  7fb2f9a000 0
tgid 602  "surfaceflinger"  7fb2f99000 0
tgid 2000  "droid.launcher3"  7fbe165000 0
tgid 2000  "droid.launcher3"  7fbe1a2000 0
tgid 2000  "droid.launcher3"  7ec8fea000 0
tgid 2000  "droid.launcher3"  7ec4fec000 0
tgid 2000  "droid.launcher3"  7ec4fed000 0
tgid 2000  "droid.launcher3"  7fffffc000 0
tgid 2000  "droid.launcher3"  7f28adf000 0
tgid 2000  "droid.launcher3"  7fbaf80000 0
tgid 2000  "droid.launcher3"  7fbaf7c000 0
tgid 2000  "droid.launcher3"  7fbaf7d000 0
tgid 816  "power@1.3-servi"  7fbb83f000 0
tgid 816  "power@1.3-servi"  7fbb85c000 0
tgid 602  "surfaceflinger"  7faa625000 0
tgid 602  "surfaceflinger"  7faa626000 0
tgid 602  "surfaceflinger"  7fba70b000 0
tgid 602  "surfaceflinger"  7fba694000 0
tgid 816  "power@1.3-servi"  7fbb844000 0
tgid 816  "power@1.3-servi"  7fbb859000 0
tgid 816  "power@1.3-servi"  7fbdfbf000 0
tgid 816  "power@1.3-servi"  7fbdfc0000 0
tgid 2000  "droid.launcher3"  7fbe15d000 0
tgid 2000  "droid.launcher3"  7fbe15c000 0
tgid 2000  "droid.launcher3"  7ecc993000 0
tgid 2000  "droid.launcher3"  7f39804000 0
tgid 2000  "droid.launcher3"  7f39800000 0
tgid 2000  "droid.launcher3"  7f39845000 0
tgid 2000  "droid.launcher3"  7f39806000 0
tgid 2000  "droid.launcher3"  7fbe161000 0
tgid 2000  "droid.launcher3"  7f28893000 0
tgid 2000  "droid.launcher3"  7ec9248000 0
tgid 2000  "droid.launcher3"  7fbdcb6000 0
tgid 1333  "android.ui"  9d6be000 0
tgid 816  "power@1.3-servi"  7fbd201000 0
tgid 816  "power@1.3-servi"  7fbd200000 0
tgid 816  "power@1.3-servi"  7fbd298000 0
tgid 816  "power@1.3-servi"  7fbb84b000 0
tgid 816  "power@1.3-servi"  7fbb84c000 0
tgid 816  "power@1.3-servi"  7fbd404000 0
tgid 816  "power@1.3-servi"  7fbd400000 0
tgid 1670  "ndroid.systemui"  13dec000 0
tgid 1670  "ndroid.systemui"  9d5ad000 0
tgid 1333  "android.ui"  7e6fa85000 0
tgid 1333  "android.ui"  7e6fde2000 0
tgid 816  "power@1.3-servi"  7fbd407000 0
tgid 816  "power@1.3-servi"  7fbd406000 0
tgid 1333  "android.ui"  7f2d51e000 0
tgid 1333  "android.ui"  7f2adc1000 0
tgid 816  "power@1.3-servi"  7fbd408000 0
tgid 816  "power@1.3-servi"  7fbd205000 0
tgid 816  "power@1.3-servi"  7fbd211000 0
tgid 816  "power@1.3-servi"  7fbb84d000 0
tgid 816  "power@1.3-servi"  7fbcfe9000 0
tgid 816  "NodeLooperThrea"  7fbb7fc000 0
tgid 816  "NodeLooperThrea"  7fbb7fb000 0
tgid 816  "NodeLooperThrea"  7fbb83e000 0
tgid 816  "NodeLooperThrea"  7fbb83d000 0
tgid 816  "power@1.3-servi"  7fba6ff000 0
tgid 2000  "droid.launcher3"  7fbe25a000 0
tgid 2000  "droid.launcher3"  7f393ef000 0
tgid 2000  "droid.launcher3"  7fbe23c000 0
tgid 2000  "droid.launcher3"  7fbe1a3000 0
tgid 2000  "droid.launcher3"  7f31912000 0
tgid 2000  "droid.launcher3"  13cf2000 0
tgid 2000  "droid.launcher3"  7fbe285000 0
tgid 2000  "droid.launcher3"  7f393f0000 0
tgid 2000  "droid.launcher3"  7fbe1f8000 0
tgid 2000  "droid.launcher3"  7fffffa000 0
tgid 2000  "droid.launcher3"  7fbe24e000 0
tgid 2000  "droid.launcher3"  7fbde24000 0
tgid 2000  "droid.launcher3"  7fbe286000 0
tgid 2000  "droid.launcher3"  131e3000 0
tgid 2000  "droid.launcher3"  7f35098000 0
tgid 2000  "droid.launcher3"  13ce9000 0
tgid 2000  "droid.launcher3"  13cfc000 0
tgid 2000  "droid.launcher3"  13050000 0
tgid 2000  "droid.launcher3"  7f34f29000 0
tgid 2000  "droid.launcher3"  13cd2000 0
tgid 2000  "droid.launcher3"  131c0000 0
tgid 2000  "droid.launcher3"  7f34f26000 0
tgid 2000  "droid.launcher3"  13cc4000 0
tgid 2000  "droid.launcher3"  13cd3000 0
tgid 2000  "droid.launcher3"  9d3b5000 0
tgid 816  "NodeLooperThrea"  7fbb81b000 0
tgid 1333  "android.ui"  9d6c3000 0
tgid 604  "composer@2.3-se"  7fbd049000 0
tgid 604  "composer@2.3-se"  7fbd022000 0
tgid 604  "composer@2.3-se"  7fbd078000 0
tgid 604  "composer@2.3-se"  7fbd033000 0
tgid 604  "composer@2.3-se"  7fb5e16000 0
tgid 604  "composer@2.3-se"  7fbd032000 0
tgid 816  "power@1.3-servi"  7fba6fe000 0
tgid 816  "NodeLooperThrea"  7fbb84e000 0
tgid 816  "NodeLooperThrea"  7fbb81d000 0
tgid 2000  "droid.launcher3"  7fbe170000 0
tgid 2000  "droid.launcher3"  7fbe249000 0
tgid 2000  "droid.launcher3"  7f28904000 0
tgid 1333  "InputDispatcher"  7e6fa65000 0
tgid 1670  "ndroid.systemui"  7eaadc6000 0
tgid 1670  "ndroid.systemui"  12f33000 0
tgid 1670  "ndroid.systemui"  9d5e0000 0
tgid 604  "composer@2.3-se"  7fbd096000 0
tgid 816  "NodeLooperThrea"  7fbb85b000 0
tgid 604  "composer@2.3-se"  7fbd093000 0
tgid 604  "composer@2.3-se"  7fbd00e000 0
tgid 604  "composer@2.3-se"  7fb5fbb000 0
tgid 604  "composer@2.3-se"  7fbd072000 0
tgid 604  "composer@2.3-se"  7fbd073000 0
tgid 604  "composer@2.3-se"  7fbf5e3000 0
tgid 604  "composer@2.3-se"  7fbd97f000 0
tgid 604  "composer@2.3-se"  7ffffe0000 0
tgid 604  "composer@2.3-se"  7ffffe1000 0
tgid 604  "composer@2.3-se"  7ffffe2000 0
tgid 604  "composer@2.3-se"  7ffffe3000 0
tgid 604  "composer@2.3-se"  7ffffe4000 0
tgid 604  "composer@2.3-se"  7ffffe5000 0
tgid 604  "composer@2.3-se"  7ffffe6000 0
tgid 604  "composer@2.3-se"  7ffffe7000 0
tgid 604  "composer@2.3-se"  7ffffe8000 0
tgid 604  "composer@2.3-se"  7ffffe9000 0
tgid 604  "composer@2.3-se"  7ffffea000 0
tgid 604  "composer@2.3-se"  7ffffeb000 0
tgid 604  "composer@2.3-se"  7ffffec000 0
tgid 604  "composer@2.3-se"  7ffffed000 0
tgid 604  "composer@2.3-se"  7ffffee000 0
tgid 604  "composer@2.3-se"  7ffffef000 0
tgid 604  "composer@2.3-se"  7fffff0000 0
tgid 604  "composer@2.3-se"  7fffff1000 0
tgid 604  "composer@2.3-se"  7fffff2000 0
tgid 604  "composer@2.3-se"  7fffff3000 0
tgid 604  "composer@2.3-se"  7fffff4000 0
tgid 604  "composer@2.3-se"  7fffff5000 0
tgid 604  "composer@2.3-se"  7fffff6000 0
tgid 604  "composer@2.3-se"  7fffff7000 0
tgid 604  "composer@2.3-se"  7fffff8000 0
tgid 604  "composer@2.3-se"  7fffff9000 0
tgid 604  "composer@2.3-se"  7fffffa000 0
tgid 604  "composer@2.3-se"  7fffffb000 0
tgid 604  "composer@2.3-se"  7fbd0d1000 0
tgid 604  "composer@2.3-se"  7fbd0d3000 0
tgid 604  "composer@2.3-se"  7fbd0d5000 0
tgid 604  "composer@2.3-se"  7fbd0dc000 0
tgid 604  "composer@2.3-se"  7fbd0dd000 0
tgid 604  "composer@2.3-se"  7fbd0de000 0
tgid 604  "composer@2.3-se"  7fbd0df000 0
tgid 604  "composer@2.3-se"  7fbd0e0000 0
tgid 604  "composer@2.3-se"  7fbd0e1000 0
tgid 604  "composer@2.3-se"  7fbd0e2000 0
tgid 604  "composer@2.3-se"  7fbd0e3000 0
tgid 604  "composer@2.3-se"  7fbd0e4000 0
tgid 604  "composer@2.3-se"  7fbd0e5000 0
tgid 604  "composer@2.3-se"  7fbd0e6000 0
tgid 604  "composer@2.3-se"  7fbd0e7000 0
tgid 604  "composer@2.3-se"  7fbd0e8000 0
tgid 604  "composer@2.3-se"  7fbd0e9000 0
tgid 604  "composer@2.3-se"  7fbd0ea000 0
tgid 604  "composer@2.3-se"  7fbd0eb000 0
tgid 604  "composer@2.3-se"  7fbd0ec000 0
tgid 604  "composer@2.3-se"  7fbd0ed000 0
tgid 604  "composer@2.3-se"  7fbf5e4000 0
tgid 557  "logd.writer"  7fbd922000 0
tgid 816  "NodeLooperThrea"  7fbd26b000 0
tgid 816  "NodeLooperThrea"  7fbd26c000 0
tgid 816  "NodeLooperThrea"  7fbd240000 0
tgid 816  "NodeLooperThrea"  7fbda7e000 0
tgid 816  "NodeLooperThrea"  7fbd20a000 0
tgid 816  "NodeLooperThrea"  7fbd20e000 0
tgid 816  "NodeLooperThrea"  7fbda7d000 0
tgid 2000  "droid.launcher3"  13cf3000 0
tgid 2000  "droid.launcher3"  131d1000 0
tgid 2000  "droid.launcher3"  9d3b4000 0
tgid 604  "composer@2.3-se"  7ffffdf000 0
tgid 604  "composer@2.3-se"  7ffffdd000 0
tgid 604  "composer@2.3-se"  7ffffde000 0
tgid 604  "composer@2.3-se"  7fb5e36000 0
tgid 604  "composer@2.3-se"  7fb5e37000 0
tgid 604  "composer@2.3-se"  7fbd20c000 0
tgid 816  "NodeLooperThrea"  7fbb7fa000 0
tgid 816  "NodeLooperThrea"  7fbd212000 0
tgid 816  "NodeLooperThrea"  7fbe23e000 0
tgid 604  "composer@2.3-se"  7fb5dd9000 0
tgid 604  "composer@2.3-se"  7fb5dda000 0
tgid 604  "composer@2.3-se"  7fb5dd8000 0
tgid 604  "composer@2.3-se"  7fb5ddb000 0
tgid 604  "composer@2.3-se"  7fb5e7b000 0
tgid 816  "NodeLooperThrea"  7fbf5e3000 0
tgid 2000  "droid.launcher3"  9d4b1000 0
tgid 1670  "ndroid.systemui"  9d5a4000 0
tgid 604  "composer@2.3-se"  7fbd021000 0
tgid 816  "NodeLooperThrea"  7fbdae6000 0
tgid 604  "composer@2.3-se"  7fbd094000 0
tgid 2000  "droid.launcher3"  9d4c2000 0
tgid 1670  "ndroid.systemui"  12d10000 0
tgid 604  "composer@2.3-se"  7ffffa5000 0
tgid 604  "composer@2.3-se"  7ffffc3000 0
tgid 604  "composer@2.3-se"  7ffffc4000 0
tgid 604  "composer@2.3-se"  7ffffc5000 0
tgid 604  "composer@2.3-se"  7ffffc6000 0
tgid 604  "composer@2.3-se"  7ffffc7000 0
tgid 604  "composer@2.3-se"  7ffffc8000 0
tgid 604  "composer@2.3-se"  7ffffc9000 0
tgid 604  "composer@2.3-se"  7ffffca000 0
tgid 604  "composer@2.3-se"  7ffffcb000 0
tgid 604  "composer@2.3-se"  7ffffcc000 0
tgid 604  "composer@2.3-se"  7ffffcd000 0
tgid 604  "composer@2.3-se"  7ffffce000 0
tgid 604  "composer@2.3-se"  7ffffcf000 0
tgid 604  "composer@2.3-se"  7ffffd0000 0
tgid 604  "composer@2.3-se"  7ffffd1000 0
tgid 604  "composer@2.3-se"  7ffffd2000 0
tgid 604  "composer@2.3-se"  7ffffd3000 0
tgid 604  "composer@2.3-se"  7ffffd4000 0
tgid 604  "composer@2.3-se"  7ffffd5000 0
tgid 604  "composer@2.3-se"  7ffffd6000 0
tgid 604  "composer@2.3-se"  7ffffd7000 0
tgid 604  "composer@2.3-se"  7ffffd8000 0
tgid 604  "composer@2.3-se"  7ffffd9000 0
tgid 604  "composer@2.3-se"  7ffffda000 0
tgid 604  "composer@2.3-se"  7ffffdb000 0
tgid 604  "composer@2.3-se"  7ffffdc000 0
tgid 604  "composer@2.3-se"  7fbd056000 0
tgid 604  "composer@2.3-se"  7ffffa6000 0
tgid 604  "composer@2.3-se"  7ffffa7000 0
tgid 604  "composer@2.3-se"  7ffffa8000 0
tgid 604  "composer@2.3-se"  7ffffa9000 0
tgid 604  "composer@2.3-se"  7ffffaa000 0
tgid 604  "composer@2.3-se"  7ffffab000 0
tgid 604  "composer@2.3-se"  7ffffac000 0
tgid 604  "composer@2.3-se"  7ffffad000 0
tgid 604  "composer@2.3-se"  7ffffae000 0
tgid 604  "composer@2.3-se"  7ffffaf000 0
tgid 604  "composer@2.3-se"  7ffffb0000 0
tgid 604  "composer@2.3-se"  7ffffb1000 0
tgid 604  "composer@2.3-se"  7ffffb2000 0
tgid 604  "composer@2.3-se"  7ffffb3000 0
tgid 604  "composer@2.3-se"  7ffffb4000 0
tgid 604  "composer@2.3-se"  7ffffb5000 0
tgid 604  "composer@2.3-se"  7ffffb6000 0
tgid 604  "composer@2.3-se"  7ffffb7000 0
tgid 604  "composer@2.3-se"  7ffffb8000 0
tgid 604  "composer@2.3-se"  7ffffb9000 0
tgid 604  "composer@2.3-se"  7ffffba000 0
tgid 604  "composer@2.3-se"  7ffffbb000 0
tgid 604  "composer@2.3-se"  7ffffbc000 0
tgid 604  "composer@2.3-se"  7ffffbd000 0
tgid 604  "composer@2.3-se"  7ffffbe000 0
tgid 604  "composer@2.3-se"  7ffffbf000 0
tgid 604  "composer@2.3-se"  7ffffc0000 0
tgid 604  "composer@2.3-se"  7ffffc1000 0
tgid 604  "composer@2.3-se"  7ffffc2000 0
tgid 604  "composer@2.3-se"  7fb452d000 0
tgid 2000  "droid.launcher3"  9d4bc000 0
tgid 1670  "ndroid.systemui"  135bd000 0
tgid 1670  "ndroid.systemui"  9d583000 0
tgid 604  "composer@2.3-se"  7fb452e000 0
tgid 2000  "droid.launcher3"  131dc000 0
tgid 2000  "droid.launcher3"  13047000 0
tgid 2000  "droid.launcher3"  131c1000 0
tgid 2000  "droid.launcher3"  13cef000 0
tgid 2000  "droid.launcher3"  7ecca88000 0
tgid 2000  "droid.launcher3"  7f28a67000 0
tgid 2000  "droid.launcher3"  13cf4000 0
tgid 604  "composer@2.3-se"  7ffffa3000 0
tgid 604  "composer@2.3-se"  7fb454c000 0
tgid 2000  "droid.launcher3"  7ecca89000 0
tgid 2000  "droid.launcher3"  9d37d000 0
tgid 604  "composer@2.3-se"  7fb456a000 0
tgid 2000  "droid.launcher3"  7fbe264000 0
tgid 2000  "droid.launcher3"  9d37e000 0
tgid 1670  "ndroid.systemui"  12d33000 0
tgid 1670  "ndroid.systemui"  9d660000 0
tgid 604  "composer@2.3-se"  7fb454d000 0
tgid 2000  "droid.launcher3"  9d396000 0
tgid 604  "composer@2.3-se"  7ffffa4000 0
tgid 604  "composer@2.3-se"  7fb454e000 0
tgid 2000  "droid.launcher3"  13cd4000 0
tgid 2000  "droid.launcher3"  9d37f000 0
tgid 604  "composer@2.3-se"  7fb5e18000 0
tgid 604  "composer@2.3-se"  7fb5e2d000 0
tgid 604  "composer@2.3-se"  7fb5e2c000 0
tgid 604  "composer@2.3-se"  7fb5e2b000 0
tgid 604  "composer@2.3-se"  7fb5e35000 0
tgid 2000  "droid.launcher3"  7ecca87000 0
tgid 2000  "droid.launcher3"  9d397000 0
tgid 1670  "ndroid.systemui"  9d4e4000 0
tgid 1670  "ndroid.systemui"  9d650000 0
tgid 2000  "droid.launcher3"  9d485000 0
tgid 2000  "droid.launcher3"  7f2dd0d000 0
